Богородское,4,
Гольяново,11,
Метрогородок,4,
Перово,8,
Соколиная Гора,6,
Сокольники,4,
Преображенское,3,
Внуково,4,
Дорогомилово,4,
Кунцево,4,
Можайское,5,
Ново-Переделкино,4,
Очаково-Матвеевское,7,
Солнцево,6,
Филевский Парк,10,
Силино,3,
Беговое,6,
Войковское,3,
Головинское,3,
Дмитровское,3,
Западное Дегунино,4,
Левобережное,3,
Сокол,5,
Хорошевское,8,
Алексеевское,3,
Алтуфьевское,3,
Бабушкинское,3,
Бутырское,7,
Марьина Роща,4,
Останкинское,4,
Отрадное,6,
Ростокино,5,
Южное Медведково,4,
Покровское-Стрешнево,6,
Северное Тушино,3,
Строгино,3,
Хорошево-Мневники,4,
Щукино,5,
Южное Тушино,5,
Басманное,10,
Замоскворечье,11,
Красносельское,10,
Мещанское,5,
Пресненское,13,
Таганское,4,
Тверское,4,
Хамовники,5,
Якиманка,3,
Выхино-Жулебино,4,
Капотня,3,
Лефортово,9,
Люблино,5,
Некрасовка,5,
Нижегородское,9,
Печатники,6,
Рязанское,5,
Текстильщики,3,
Южнопортовое,3,
Академическое,3,
Зюзино,3,
Коньково,5,
Котловка,3,
Южное Бутово,3,
Ясенево,5,
Бирюлево Западное,4,
Даниловское,9,
Москворечье-Сабурово,7,
Нагатино-Садовники,10,
Нагорное,11,
Царицыно,5,
Чертаново Северное,4,
Старое Крюково,3,
