Богородское;107697;108111;109324;110137;110044;110049;108657;107571;
Вешняки;122073;122123;122285;122419;121972;120953;119927;119585;
Восточное Измайлово;77913;77948;78154;78206;77931;77314;73929;73857;
Восточное;13557;13631;13689;13752;13698;13503;12906;12454;
Гольяново;161906;162715;163009;163197;162886;161126;165243;164715;
Ивановское;127379;127565;128267;128514;128085;125737;125042;125062;
Измайлово;106154;106741;107381;107883;107768;107379;107953;108666;
Косино-Ухтомское;80794;81588;82267;82413;81973;82250;89113;89438;
Новогиреево;97428;98382;98415;98634;100107;99823;99961;99348;
Новокосино;106931;107646;107907;108204;107839;107246;106320;107461;
Метрогородок;37972;38879;39024;39121;38872;38310;39623;40122;
Перово;140714;140783;140968;141269;140865;140243;135315;134308;
Северное Измайлово;87247;87564;87614;88007;87814;87853;84986;84957;
Соколиная Гора;89972;91085;92126;92337;92015;91484;93183;92805;
Сокольники;60834;61164;61487;61649;61245;60756;59914;60396;
Преображенское;88627;90017;91503;91574;91151;90394;87630;87933;
Внуково;24671;25406;25471;25783;25764;24687;26182;25182;
Дорогомилово;72873;74865;76093;76218;76159;75105;76926;75669;
Крылатское;82198;82593;82817;83007;82771;81677;82923;82363;
Кунцево;150513;151423;152364;152467;152004;150344;153316;151447;
Можайское;137077;137746;138610;139081;139154;137634;147606;145961;
Ново-Переделкино;121024;121947;121553;121718;121561;122202;123219;122058;
Очаково-Матвеевское;127942;129890;130742;130975;130714;129002;127680;126535;
Проспект Вернадского;63474;63597;63659;64228;64431;64436;65529;65316;
Раменки;137093;139127;141610;142389;142538;141754;152594;151931;
Солнцево;123371;124797;126456;126901;126958;126081;127304;126309;
Тропарево-Никулино;121754;123478;124167;124287;123873;122663;128359;128029;
Филевский Парк;92168;92740;94323;94787;95106;94450;113015;112388;
Фили-Давыдково;114573;114907;115128;115273;114953;113818;112246;111926;
Крюково;95645;97746;100098;103046;102996;107266;108426;110660;
Матушкино;40057;40351;40694;40913;40822;39546;41877;43049;
Силино;39724;39987;40218;40341;40266;40425;41586;42047;
Аэропорт;78867;79294;79486;79541;79413;79283;81964;81833;
Беговое;42691;42769;42781;42908;42634;41991;42729;43190;
Бескудниковское;77894;78971;79603;79732;79607;78567;78556;79896;
Войковское;69311;70192;70729;70899;70623;70499;72033;72173;
Восточное Дегунино;98347;98864;98923;99112;98923;98046;101601;101167;
Головинское;103064;103148;103197;103573;103508;102722;104554;106612;
Дмитровское;92517;93217;93468;93545;93321;92656;103271;103496;
Западное Дегунино;81597;83262;84163;84381;84273;83251;85514;84743;
Коптево;101098;101894;102076;102238;101885;103693;102809;103676;
Левобережное;53314;53951;54596;54712;54648;53007;55355;55420;
Молжаниновское;7208;9903;12194;12264;12208;11974;12487;13337;
Савеловское;59106;59184;59287;59586;59611;60079;60070;60149;
Сокол;59073;59349;59507;60171;60324;58270;58000;57677;
Тимирязевское;83394;83641;83712;83824;83641;82510;81940;82774;
Ховрино;85401;87845;89018;89094;88915;87711;93029;96233;
Хорошевское;67694;71127;72676;72732;72594;70970;74927;75533;
Алексеевское;80339;80391;80534;80634;80449;79193;78502;77681;
Алтуфьевское;57228;57408;57596;57697;57601;57361;55753;55741;
Бабушкинское;88152;88296;88537;88691;88607;88092;68075;88627;
Бибирево;159811;160053;160163;160447;160248;158939;159344;158797;
Бутырское;70896;71013;71458;71798;71721;70957;72472;71703;
Лианозово;85097;85837;85901;86035;85867;85475;84811;84105;
Лосиноостровское;82821;82869;82899;83046;82937;83221;82683;83136;
Марфино;33640;35196;35387;35579;35488;35413;36566;36742;
Марьина Роща;67234;67367;67394;67538;67456;66787;63095;62191;
Останкинское;63075;63148;63514;63697;63611;63628;65296;64840;
Отрадное;183921;185171;185488;185745;185459;185218;187728;187737;
Ростокино;39217;39407;40082;40196;40108;39961;52059;52115;
Свиблово;61821;62009;62847;62981;62899;62401;60984;60013;
Северное Медведково;126694;127451;127819;127986;127718;128028;128989;129632;
Северное;33096;34960;38551;38633;38529;39030;55129;55740;
Южное Медведково;85007;85521;85698;85867;85739;86391;86996;88150;
Ярославское;97234;97859;98108;98272;98134;97502;99656;98861;
Куркино;32325;33312;34012;34231;34187;34153;32326;33298;
Митино;188671;192876;194965;195476;195013;197386;197840;198194;
Покровское-Стрешнево;57216;58299;59402;59512;;58975;66564;67364;
Северное Тушино;164770;165265;165762;166217;165736;164120;171805;172055;
Строгино;159168;159973;160791;161298;161048;159134;161980;163074;
Хорошево-Мневники;170913;172371;173615;174834;175123;175924;181520;182497;
Щукино;109321;110272;111203;111673;111207;110653;109248;110486;
Южное Тушино;108312;108978;109218;109708;109684;108872;111492;112628;
Арбат;34396;35529;36125;36308;36107;35796;35962;36246;
Басманное;110083;110146;110694;110897;110329;110928;109051;111289;
Замоскворечье;57871;58637;59105;59305;58891;58665;54521;55293;
Савелки;33846;34147;34472;34726;34683;34647;36840;36947;
Красносельское;48474;48534;48697;48769;48509;47865;45691;45851;
Мещанское;60121;60778;61213;61452;61037;60044;56620;55635;
Пресненское;126178;127462;128062;128314;127694;128784;126433;127506;
Таганское;119989;120943;123398;123532;122898;123382;135106;134759;
Тверское;77234;77497;77864;77947;77360;77091;75593;75735;
Хамовники;107821;108766;109218;109451;108773;108740;105275;105094;
Якиманка;27463;27589;27672;27911;27754;27791;27481;27022;
Выхино-Жулебино;224366;224796;225154;225493;224783;225043;241783;241326;
Капотня;32315;32364;32399;33714;33709;33761;32717;32161;
Кузьминки;145227;145680;145984;146208;145812;144246;140670;139880;
Лефортово;93311;94102;95343;95467;95070;95397;106078;109711;
Люблино;171740;171946;172054;172523;172409;173201;181447;184071;
Марьино;252597;253908;253943;254142;253774;252623;271915;272278;
Некрасовка;46989;63275;71943;83525;84217;87867;108388;112860;
Нижегородское;45153;45208;45294;45738;45798;45486;49563;50637;
Печатники;86395;86447;86587;86706;86313;85219;90252;89544;
Рязанское;108542;108733;109733;110073;110184;110533;107857;108657;
Текстильщики;104653;104815;105267;105398;104921;104955;102752;101550;
Южнопортовое;74097;74376;74729;74841;74756;74508;72414;73112;
Академическое;109127;109231;109387;110038;110459;110161;113198;114228;
Гагаринское;78840;80582;81877;81967;81739;81420;80987;80493;
Зюзино;126365;126573;126815;127301;127696;126776;124527;123288;
Коньково;155966;156211;156389;156473;155862;154850;151790;152544;
Котловка;65793;65811;65892;65992;65724;66619;64976;65708;
Ломоносовское;87621;87998;88320;88407;88031;88037;87923;87044;
Обручевское;84257;85616;86793;87458;87986;87015;87447;87258;
Северное Бутово;95065;95561;95882;95937;95642;96753;97658;97516;
Теплый Стан;133905;134298;134321;134562;134073;133368;132338;131899;
Черемушки;107685;109547;110753;110948;110659;110448;107799;107951;
Южное Бутово;205064;207967;210676;210783;210472;208355;208783;211116;
Ясенево;177596;177847;177901;178264;178089;179169;175253;176505;
Бирюлево Восточное;152450;154191;155863;155937;155196;152843;157292;156160;
Бирюлево Западное;88164;88401;88672;88796;88573;87787;86038;85308;
