Богородское;1024;
Вешняки;1072,4;
Восточное Измайлово;384,9;
Восточное;314;
Гольяново;1499,02;
Ивановское;1019,16;
Измайлово;1523,64;
Косино-Ухтомское;1535,81;
Новогиреево;445,29;
Новокосино;359,59;
Метрогородок;2756,74;
Перово;972,87;
Северное Измайлово;420,2;
Соколиная Гора;784,41;
Сокольники;1028,46;
Преображенское;561,4;
Внуково;1736,95;
Дорогомилово;795,87;
Крылатское;1204,46;
Кунцево;1656,48;
Можайское;1752,6;
Ново-Переделкино;847,8;
Очаково-Матвеевское;1754,36;
Проспект Вернадского;465,14;
Раменки;1853,71;
Солнцево;1129;
Тропарево-Никулино;1126,66;
Филевский Парк;962,43;
Фили-Давыдково;695,71;
Крюково;1125;
Матушкино;503,09;
Силино;1039,63;
Аэропорт;457,95;
Беговое;555,98;
Бескудниковское;329,98;
Войковское;660,61;
Восточное Дегунино;377,15;
Головинское;892,62;
Дмитровское;728,92;
Западное Дегунино;752,66;
Коптево;538,04;
Левобережное;654,75;
Молжаниновское;1665;
Савеловское;269,9;
Сокол;372;
Тимирязевское;1043,36;
Ховрино;572;
Хорошевское;987,96;
Алексеевское;529,31;
Алтуфьевское;325,25;
Бабушкинское;506,72;
Бибирево;644,94;
Бутырское;504,4;
Лианозово;579;
Лосиноостровское;554;
Марфино;269,7;
Марьина Роща;468,21;
Останкинское;1245,59;
Отрадное;1018,4;
Ростокино;353,85;
Свиблово;440,64;
Северное Медведково;565,94;
Северное;1029,4;
Южное Медведково;387,5;
Ярославское;799,45;
Куркино;803,66;
Митино;1266,5;
Покровское-Стрешнево;1290,09;
Северное Тушино;940,04;
Строгино;1684,3;
Хорошево-Мневники;1781;
Щукино;768,5;
Южное Тушино;794,06;
Арбат;211;
Басманное;836,83;
Замоскворечье;431,52;
Савелки;812,8;
Красносельское;496,15;
Мещанское;460;
Пресненское;1170;
Таганское;801,4;
Тверское;727,38;
Хамовники;1007,63;
Якиманка;480,09;
Выхино-Жулебино;1496,89;
Капотня;805,74;
Кузьминки;815,02;
Лефортово;906,28;
Люблино;1740,68;
Марьино;1190,79;
Некрасовка;1136,7;
Нижегородское;757,4;
Печатники;1789,38;
Рязанское;648,52;
Текстильщики;579,9;
Южнопортовое;452,65;
Академическое;583,4;
Гагаринское;549,91;
Зюзино;545,04;
Коньково;717,91;
Котловка;394,41;
Ломоносовское;333,75;
Обручевское;611,94;
Северное Бутово;913,38;
Теплый Стан;750;
Черемушки;463,48;
Южное Бутово;2553,74;
Ясенево;2536,65;
Бирюлево Восточное;1477,2;
Бирюлево Западное;850,64;
Братеево;763;
Даниловское;1259,6;
Донское;572,85;
Зябликово;437,95;
Москворечье-Сабурово;930,15;
Нагатино-Садовники;817;
Нагатинский Затон;979,5;
Нагорное;625;
Орехово-Борисово Северное;767,16;
Орехово-Борисово Южное;694,26;
Царицыно;843,44;
Чертаново Северное;540,15;
Чертаново Центральное;651,59;
Чертаново Южное;938;
Старое Крюково;380,5;
