ID  объявления,Количество комнат,Тип,Метро,Адрес,"Площадь, м2",Дом,Парковка,Цена,Телефоны,Описание,Ремонт,"Площадь комнат, м2",Балкон,Окна,Санузел,Можно с детьми/животными,Дополнительно,Серия дома,"Высота потолков, м",Лифт,Мусоропровод,Ссылка на объявление
317454359,"3, Оба варианта",Квартира,м. ВДНХ (15 мин пешком),"Москва, улица Бориса Галушкина, 20",55.0,7/8,наземная,"75000.0 руб./ За месяц, Залог - 75000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес","+79167723763, +79166015721","Сдаётся уютная трёхкoмнатная квартирa.
Линейнaя планиpoвкa: 2 изолиpованныe кoмнaты + пpoxодная гостиннaя с выxодом на балкoн.
Kвaртиpa распoложeнa в удобнoм рaйоне: дo мeтро вceго 12- 15 минут пeшком. Bозле дома нaxодятcя oстaнoвки тpaмвaя и aвтoбуca, чтo oбeспeчит вам легкий доступ к любой части города. В пешей доступности также находятся магазины, что делает жизнь комфортной и удобной., 6 фото",Евроремонт,,Балкон (1),На улицу,Раздельный (1),"Можно с детьми, Можно с животными","Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Кондиционер, Посудомоечная машина, Телевизор, Холодильник, Интернет, Телефон",,,,,https://www.cian.ru/rent/flat/317454359
190885716,2,Квартира,м. ВДНХ (15 мин пешком),"Москва, улица Бориса Галушкина, 20",45.0/28.0/5.0,"5/8, Кирпичный",,"65000.0 руб./ За месяц, Залог - 65000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",+79834798511,"Сдается 2-х комнатная квартира в кирпичном доме. Развитая инфраструктура: школы, детские сады, магазины, парковые зоны, спортивный комплекс  и т.д. Пешая доступность до метро ВДНХ. Комнаты изолированные. Вся необходимая мебель и техника. Рассматриваем платежеспособных, спокойных арендаторов., 22 фото",Косметический,,Балкон (1),,Совмещенный (1),Можно с детьми,"Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Кондиционер, Телевизор, Холодильник, Интернет, Телефон",,,Пасс (1),Да,https://www.cian.ru/rent/flat/190885716
314890560,"2, Смежная",Квартира,м. Савёловская (11 мин пешком),"Москва, улица Сущевский Вал, 23",34.3/6.0,"5/9, Кирпичный",наземная,"66000.0 руб./ За месяц, Залог - 60000 руб., Коммунальные услуги включены, Срок аренды - Длительный",+79175580592,"Предлагаем на долгосрочную аренду 2-комнатную квартиру в одном из самых зеленых и благоустроенных районов Москвы!
Расположенная на 5 этаже кирпичного дома 1967 года постройки (серия II-29), эта уютная квартира площадью 34,3 кв.м
станет вашим идеальным гнездышком в сердце столицы.
Функциональная планировка со смежными комнатами общей площадью 24,2 кв.м и светлой кухней 6,2 кв.м
создает особое ощущение простора и комфорта.
Особую атмосферу создает застекленный балкон, откуда открывается живописный вид на окрестности.
В квартире установлен кондиционер, есть вся необходимая мебель что обеспечивает комфортное проживание в любое время года.
Дом отличается отличной инфраструктурой: современный лифт, домофон, ухоженный подъезд и шлагбаум во дворе создают атмосферу безопасности и комфорта. Для семей с детьми особенно ценно наличие детских площадок, школ и садиков в непосредственной близости от дома.
Транспортная доступность впечатляет: всего несколько минут пешком до станций метро Савеловская и ..., 27 фото",Косметический,,Балкон (1),На улицу и двор,Совмещенный (1),,"Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Кондиционер, Телевизор, Холодильник, Интернет",,,,Нет,https://www.cian.ru/rent/flat/314890560
317079248,"2, Оба варианта",Квартира,м. Марьина Роща (3 мин пешком),"Москва, улица 2-я Марьиной рощи, 14",44.0/29.0/5.3,"7/9, Кирпичный",наземная,"68000.0 руб./ За месяц, Залог - 68000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",+79853018978,"2- комнатная квартира с большой гостиной, в которой имеется застекленный балкон и   изолированная  спальня!  Дом находится в  очень удобном районе, с хорошо продуманной транспортной доступностью и давно сложившейся развитой инфраструктурой. 
Все в шаговой доступности - магазины - Пятерочка, Дикси, Магнолия и ТРЦ Райкин Плаза, Ашан. Театры Сатирикон и КВН, театр Российской Армии.
 Транспорт : автобусы 15 минут до Большого театра, Метро Марьина роща, БКЛ и Диаметры Д2, Д4 .
Парки; Фестивальный, Екатерининский, Останкино и ВДНХ
Депозит можно разделить на 2 месяца. Выслушаем Ваши предложения!, 28 фото",Косметический,,Лоджия (1),Во двор,Раздельный (1),,"Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Кондиционер, Холодильник, Интернет",,,"Пасс (1), Груз (1)",Да,https://www.cian.ru/rent/flat/317079248
190414463,"3, Изолированная",Квартира,м. Отрадное (16 мин пешком),"Москва, улица Римского-Корсакова, 18",65.0/46.0/10.0,"4/12, Кирпичный",наземная,"70000.0 руб./ За месяц, Залог - 70000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",+79327173014,"Кирпичный дом, квартира СТУДИЯ после евро ремонта, полы паркет-плитка, сан-узел совместный, ванная с гидромассажем, на кухне и в ванной полы с подогревом, кухонный гарнитур встроенный, 2 утеплённые застеклённые лоджии, 2 спальни, кухня-столовая, новая современная мебель, спальный гарнитур, 2 кондиционера, ПММ, ЖК ТВ, варочная панель, чистый подъезд, консьерж, рассматривают семью или одиночек, можно с детьми. Оставили задаток до 25-го мая., 16 фото",Евроремонт,,Лоджия (2),Во двор,Раздельный (1),Можно с детьми,"Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Кондиционер, Посудомоечная машина, Телевизор, Холодильник, Интернет, Телефон",,,Пасс (2),Да,https://www.cian.ru/rent/flat/190414463
316600176,"3, Изолированная",Квартира,м. Бабушкинская (9 мин пешком),"Москва, Енисейская улица, 12",75.0/50.0/9.0,10/14,наземная,"75000.0 руб./ За месяц, Залог - 75000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",+79854319716,"Квартира ранее не сдавалась, дом кирпичный. Мебель 2000-х годов (встроенная кухня, шкаф-купе и т.д.), все комнаты изолированные, вся бытовая техника (включая посудомоечную машину и 2 кондиционера), санузел совмещённый, 2 застеклённых лоджии, чистый подъезд, развитая инфраструктура, парковка во дворе (места есть всегда). Звонить можно с 9.00 до 24.00 ежедневно. Оперативный показ. Огромная просьба, если возникают вопросы по объявлению, пожалуйста звоните,  а не пишите сообщения!, 19 фото",Евроремонт,,Лоджия (2),Во двор,Совмещенный (1),Можно с детьми,"Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Кондиционер, Посудомоечная машина, Телевизор, Холодильник, Интернет",,,"Пасс (1), Груз (1)",,https://www.cian.ru/rent/flat/316600176
317895991,"2, Изолированная",Квартира,м. Алексеевская (3 мин пешком),"Москва, Новоалексеевская улица, 5А",47.0/28.0/7.0,"5/12, Кирпичный",наземная,"75000.0 руб./ За месяц, Залог - 75000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",+79156212889,"Уютная двухкомнатная квартира с ремонтом у метро Алексеевская — ваш идеальный дом в Москве!
 Адрес: м. Алексеевская  ул. Новоалексеевская, 5А
 Площадь: 47 м² (просторная кухня+ 2 изолированные спальни, раздельный санузел)
 Почему вам понравится здесь жить?
 Свежий ремонт — светлые тона, качественные материалы, уютная атмосфера
 Полная меблировка — удобная кровать, шкафы, обеденный стол, техника (стиралка, холодильник, плита, микроволновка)
 Тихий зелёный двор — окна не на дорогу, рядом парк для прогулок
 Отличная транспортная доступность — 2 мин. до метро.
 Всё для комфорта в престижном районе города.



Арт. 105492833, 7 фото",Косметический,16-12,,Во двор,Раздельный (1),"Можно с детьми, Можно с животными","Мебель в комнатах, Мебель на кухне, Стиральная машина, Кондиционер, Телевизор, Холодильник, Интернет",,,Пасс (2),,https://www.cian.ru/rent/flat/317895991
315285288,2,Квартира,м. Свиблово (8 мин на машине),"Москва, Ярославское шоссе, 26к6",71.0/38.0/13.0,"10/13, Кирпичный",наземная,"75000.0 руб./ За месяц, Залог - 75000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",+79154247833,"Вашему вниманию предлагается шикарная просторная двухкомнатная квартира в доме повышенной комфортности с огороженной территорией! Красивый двор , шлагбаум на въезде , в подъезде круглосуточный консьерж , видионаблюдение . Удачное расположение дома , рядом парки , магазины и многое другое для комфортного проживания ! В квартире выполнен хороший ремонт , две отдельные комнаты и кухня 13 кв м , есть лоджия , санузел и ванная раздельные . Есть вся техника бытовая и мебель , посудомоечной машины нет .Красивый вид из окон . Рассмотрят исключительно на длительный срок , желательно семейную пару без домашних животных , если с детьми то от 10 лет. Звоните уважаемые клиенты ! По запросу могу выслать видио на ватсап ., 25 фото",Дизайнерский,,Лоджия (1),На улицу и двор,Раздельный (1),Можно с детьми,"Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Кондиционер, Телевизор, Холодильник, Интернет, Телефон",,2.8,"Пасс (1), Груз (1)",Нет,https://www.cian.ru/rent/flat/315285288
248890481,2,Квартира,м. Алексеевская (23 мин пешком),"Москва, Рижский проезд, 9",60.0/36.0/8.0,"3/9, Кирпичный",наземная,"85000.0 руб./ За месяц, Залог - 85000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",+79230732280,"!!! СВОБОДНА С 12 МАЯ!!! Вашему вниманию предлагается очень светлая, теплая, чистая, двухкомнатная квартира в сталинском доме! Имеется вся необходимая бытовая техника (посудомоечная машина, стиральная машина, холодильник, кондиционер, телевизор, электрочайник) и мебель для комфортного проживания! Дизайнерская подсветка, проектор в гостиной! Развитая инфраструктура, вокруг много магазинов, парк Сокольники в 1 минуте пешком! Уважаемые клиенты, ЗВОНИТЕ! Покажем квартиру в ЛЮБОЕ удобное для Вас время!, 15 фото",Евроремонт,,,,Раздельный (1),"Можно с детьми, Можно с животными","Мебель в комнатах, Мебель на кухне, Душевая кабина, Стиральная машина, Кондиционер, Посудомоечная машина, Телевизор, Холодильник, Интернет, Телефон",,,Пасс (1),Да,https://www.cian.ru/rent/flat/248890481
317078951,"2, Изолированная",Квартира,м. Ботанический сад (7 мин пешком),"Москва, Снежная улица, 14К1",56.0/33.0/9.0,9/9,наземная,"50000.0 руб./ За месяц, Залог - 50000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",+79151615415,"Выставлена на продажу.Квартира качественная  с ремонтом,студио,кухня соединена с комнатой и изолированная спальня. Кухня встроенная со всей бытовой техникой,санузел совмещен  в плитке,джакузи с телевизором,имеется гардеробная комната.Рассматриваем приличных и платежеспособных., 13 фото",Евроремонт,,Лоджия (1),Во двор,Совмещенный (1),"Можно с детьми, Можно с животными","Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Кондиционер, Телевизор, Холодильник, Интернет",,,Пасс (1),,https://www.cian.ru/rent/flat/317078951
