ID  объявления,Количество комнат,Тип,Метро,Адрес,"Площадь, м2",Дом,Парковка,Цена,Телефоны,Описание,Ремонт,"Площадь комнат, м2",Балкон,Окна,Санузел,Можно с детьми/животными,Дополнительно,Серия дома,"Высота потолков, м",Лифт,Мусоропровод,Ссылка на объявление
317762920,2,Квартира,м. Белорусская (7 мин пешком),"Москва, Приютский переулок, 3",55.0/27.0/10.0,2/12,наземная,"85000.0 руб./ За месяц, Залог - 85000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",+79339380488,"Предлагается в аренду уютная и комфортная квартира.
Все параметры и фотографии соответствуют действительности.
Квартира готова к заселению - есть всё необходимое для полноценного проживания!

Оперативный показ в удобное время. Никаких предоплат - всё честно и прозрачно!

Любые вопросы можете задать нашему брокеру по телефону в объявлении!
Эта квартира ждет Вас!, 17 фото",Косметический,,,Во двор,Раздельный (1),"Можно с детьми, Можно с животными","Мебель в комнатах, Мебель на кухне, Ванна, Душевая кабина, Стиральная машина, Кондиционер, Посудомоечная машина, Телевизор, Холодильник, Интернет, Телефон",,,"Пасс (1), Груз (1)",Да,https://www.cian.ru/rent/flat/317762920
231623343,"2, Оба варианта",Квартира,м. Менделеевская (11 мин пешком),"Москва, Угловой переулок, 2",48.0/35.0/6.0,"4/10, Кирпичный",наземная,"100000.0 руб./ За месяц, Залог - 100000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",+79230731498,"Предлагается в аренду светлая двухкомнатная квартира после косметического ремонта в 10 минутах пешком от станции метро Менделеевская. Квартира укомплектована всей необходимой для проживания мебелью (диван, кровать, шкафы) и техникой (холодильник, стиральная машина, посудомоечная машина, варочная панель, духовой шкаф), водонагреватель. огороженная территория, парковка за шлагбаумом. Инфраструктура рядом с домом - много магазинов, банков, аптек., 17 фото",Косметический,,Балкон (1),Во двор,Раздельный (1),"Можно с детьми, Можно с животными","Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Кондиционер, Посудомоечная машина, Холодильник, Интернет, Телефон",,3.0,"Пасс (1), Груз (1)",Да,https://www.cian.ru/rent/flat/231623343
300526466,2,Квартира,м. Красные ворота (5 мин пешком),"Москва, Новая Басманная улица, 4-6С3",46.0/26.0/7.5,"2/8, Кирпичный",наземная,"100000.0 руб./ За месяц, Залог - 100000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",+74954760059,"Уютная двухкомнатная квартира в самом центре Москвы! Свежий ремонт, все фотографии соответствуют данному объекту. 
Дом 1932 года постройки. Находится в тихом зеленом ухоженном дворе с закрытой территорией (за шлагбаумом, парковка во дворе). Рядом сад им.Баумана, 10 минут пешком. Ближайшее метро - Красные ворота, в 3ех минутах пешком.
Раздельный санузел, бытовая техника известных брендов. Телевизор, кондиционер, стиральная машина. В спальне присутствует гардеробная комната. Диван ортопедический раскладывается и подходит для спального места. 

Рассмотрим 1-2 проживающих, семейную пару. На длительный срок. Дети, животные - по договоренности. Предоплата 1 месяц + депозит. Коммунальные платежи включены (кроме счетчиков) 

Риэлторам не беспокоить (реакция непредсказуема). Субаренду не рассматриваем.
ПРОСЬБА ОСТАВЛЯТЬ АНКЕТУ ДЛЯ РАССМОТРЕНИЯ И ДАЛЬНЕЙШЕЙ СВЯЗИ! 
Ответим на все интересующие вопросы!, 17 фото",Дизайнерский,,,Во двор,Раздельный (1),,"Мебель в комнатах, Мебель на кухне, Душевая кабина, Стиральная машина, Кондиционер, Телевизор, Холодильник, Интернет, Телефон",,3.0,Пасс (1),,https://www.cian.ru/rent/flat/300526466
269574495,3,Квартира,м. Белорусская (11 мин пешком),"Москва, улица Бутырский Вал, 32",63.0/10.0,"4/9, Кирпичный",,"100000.0 руб./ За месяц, Залог - 100000 руб., Коммунальные услуги включены, Срок аренды - На несколько месяцев, Предоплата 1 мес","+79162991357, +79162438165","Сдается прекрасная 3 комнатная квартира расположенная в тихом зеленом дворе
окна во двор Вся необходимая мебель имеется 
кухня полностью укомплектована 
Можно с детьми, 12 фото",Евроремонт,,,На улицу и двор,Раздельный (2),,"Мебель в комнатах, Мебель на кухне, Ванна, Душевая кабина, Стиральная машина, Кондиционер, Посудомоечная машина, Телевизор, Холодильник",,2.64,Пасс (1),Да,https://www.cian.ru/rent/flat/269574495
317442920,2,Квартира,м. Улица 1905 года (12 мин пешком),"Москва, улица Малая Грузинская, 29",61.0/9.0,3/7,наземная,"90000.0 руб./ За месяц, Залог - 90000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес","+79230745720, +79820805261","Лот: 23730. Теплая, уютная квартира в историческом районе Москвы.
Высокие потолки. Квартира оснащена бытовой техникой: газовая плита, микроволновка, холодильник, телевизор, стиральная машина . Раздельный санузел.
Паркинг наземный, въезд под шлагбаум.
Feel free to contact agent for more information.			
Презентация для партнёров в pdf без логотипов, оперативно!, 20 фото",Косметический,,Балкон (1),На улицу,Раздельный (1),"Можно с детьми, Можно с животными","Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Кондиционер, Холодильник, Интернет, Телефон",,,,,https://www.cian.ru/rent/flat/317442920
316332672,2,Квартира,м. Площадь трёх вокзалов (6 мин пешком),"Москва, улица Маши Порываевой, 38",50.0/25.0/10.0,"6/8, Кирпичный",наземная,"100000.0 руб./ За месяц, Залог - 100000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",+79813660245,"Сдается в аренду отличный вариант!
Уютная квартира с прекрасным ремонтом, где царит атмосфера умиротворения.
Просторная кухня с современным кухонным гарнитуром.
Все необходимое для комфортной жизни.
Вдохновляющий вид из окна, который заряжает позитивом.

Ваши преимущества:
Тихий двор, развитая инфраструктура, шаговая доступность, удобная планировка, близость к парку, магазинам, метро.

Хотите узнать больше?
Звоните нам!
AGORA - ваши надежные партнеры в поиске идеального жилья!
Коммунальные платежи оплачиваются дополнительно, 22 фото",Евроремонт,,,Во двор,Совмещенный (1),"Можно с детьми, Можно с животными","Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Кондиционер, Телевизор, Холодильник, Интернет, Телефон",,3.0,Пасс (1),Да,https://www.cian.ru/rent/flat/316332672
313201541,"2, Изолированная",Квартира,м. Шелепиха (4 мин пешком),"Москва, Шелепихинское шоссе, 7К2",45.0/29.0/7.0,"3/5, Кирпичный",,"70000.0 руб./ За месяц, Залог - 70000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес","+79893129088, +79166624693","Номер лота - 2609878
Рядом МЦК ""Шелепиха"". Уютная квартира в теплом кирпичном доме. После свежего ремонта. Изолированные комнаты. Кухонный гарнитур, вся бытовая техника. Новый холодильник. Кондиционер. Мебель частично новая.  Окна стеклопакеты. Застекленная лоджия. Металлическая дверь. Домофон. Подъезд после ремонта. Предложение для семейной пары, 1-2 женщины, можно с ребенком старшего возраста. ИНКОМ-Тургеневское., 10 фото",Евроремонт,11-18,Балкон (1),,,Можно с детьми,"Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Кондиционер, Телевизор, Холодильник, Интернет, Телефон",,,,,https://www.cian.ru/rent/flat/313201541
315902611,"2, Изолированная",Квартира,м. Курская (13 мин пешком),"Москва, улица Нижняя Сыромятническая, 5с3А",72.0/38.0/9.0,"6/8, Кирпичный",открытая,"80000.0 руб./ За месяц, Залог - 80000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",+79150125616,"Арт. 100462536 Сдается 2-х комнатная квартира, после косметического ремонта,  комнаты изолированные, окна стеклопакеты, балкон не застекленный. Имеется вся необходимая мебель и бытовая техника.: кондиционер, стиральная машина, холодильник, телевизор, пылесос, СВЧ.  Санузел раздельный. Развитая инфраструктура. Животных не берут., 16 фото",Евроремонт,20-18,Балкон (1),На улицу и двор,Раздельный (1),Можно с детьми,"Мебель в комнатах, Мебель на кухне, Стиральная машина, Кондиционер, Посудомоечная машина, Телевизор, Холодильник, Интернет",,,Пасс (1),,https://www.cian.ru/rent/flat/315902611
313832158,2,Квартира,м. Чкаловская (12 мин пешком),"Москва, Подсосенский переулок, 12С1",45.0/30.0/7.5,5/9,наземная,"80000.0 руб./ За месяц, Залог - 80000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",+79230737688,"Хорошая квартира в ЦАО! Приятная входная группа, хорошие соседи.
Отличная транспортная доступность. Три станции метро в пешей доступности! До метро Курская  радиальная (+кольцевая), Чкаловская - 7 -10 минут! 
Окна во двор. Полноценная спальня с двухспальной кроватью, шкафом и отдельно  гостиная.  
Есть вся необходимая техника, мебель, в коридоре шкаф купе. Санузел совмещенный. Рассмотрим семью (можно с детьми) и других кандидатов.
 На длительный срок. 
Залог можно разбить на два месяца., 17 фото",Косметический,,Лоджия (1),Во двор,Совмещенный (1),"Можно с детьми, Можно с животными","Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Кондиционер, Посудомоечная машина, Телевизор, Холодильник",,,Пасс (1),Да,https://www.cian.ru/rent/flat/313832158
317833181,"2, Изолированная",Квартира,м. Бауманская (7 мин пешком),"Москва, Бакунинская улица, 26-30С1",58.0/30.0/9.0,4/12,наземная,"80000.0 руб./ За месяц, Залог - 80000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",+79240838260,"Сдается квартира на длительный срок! В гостиной : диван,кресло, журнальный столик,стенка,телевизор, кондиционер,в спальне: двухспальная кровать, шкаф.На кухне : кухонный гарнитур.Просторный холл, застекленная лоджия, санузел раздельный.Окна спальни и кухни выходят во двор, гостиной на улицу. Консьерж., 18 фото",Косметический,,Лоджия (1),На улицу и двор,Раздельный (1),,"Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Кондиционер, Телевизор, Холодильник, Интернет",,,Пасс (2),Да,https://www.cian.ru/rent/flat/317833181
